CustomerID,Lookalikes
C0001,"[['C0056', 0.937994040227549], ['C0164', 0.9307627671474238], ['C0116', 0.9170817136676287]]"
C0002,"[['C0199', 0.9924781135690828], ['C0142', 0.9880872862686263], ['C0010', 0.9711735190184863]]"
C0003,"[['C0027', 0.8715087905460797], ['C0166', 0.7558069799219821], ['C0029', 0.678853897054224]]"
C0004,"[['C0124', 0.9885565212761119], ['C0195', 0.9879542415506737], ['C0156', 0.9879375303357136]]"
C0005,"[['C0131', 0.999692805150406], ['C0058', 0.9996223015540427], ['C0097', 0.9987487502678624]]"
C0006,"[['C0079', 0.9998807121946304], ['C0196', 0.9861922273326099], ['C0026', 0.8081475746461997]]"
C0007,"[['C0078', 0.9959032019158693], ['C0080', 0.9955154812840622], ['C0020', 0.9943060609259584]]"
C0008,"[['C0162', 0.9581866194529632], ['C0017', 0.9524675930003565], ['C0093', 0.9387553783693624]]"
C0009,"[['C0083', 0.9962580918556325], ['C0198', 0.985964216184087], ['C0015', 0.9783121781932388]]"
C0010,"[['C0142', 0.9752861447632982], ['C0002', 0.9711735190184863], ['C0199', 0.9348224643446228]]"
C0011,"[['C0100', 0.9850794387921914], ['C0170', 0.9695694345941521], ['C0022', 0.9643172957745398]]"
C0012,"[['C0087', 0.9940483552357308], ['C0101', 0.9820808291615687], ['C0105', 0.9713279721808666]]"
C0013,"[['C0099', 0.995979981820588], ['C0105', 0.9954386848980394], ['C0155', 0.992096818239113]]"
C0014,"[['C0033', 0.9997058844428575], ['C0060', 0.9995288402599388], ['C0150', 0.9993801312689982]]"
C0015,"[['C0123', 0.9989045936107508], ['C0198', 0.9987419434573003], ['C0095', 0.998671317338153]]"
C0016,"[['C0152', 0.8636030062313497], ['C0107', 0.8601173027969059], ['C0183', 0.8322389207659221]]"
C0017,"[['C0162', 0.9981652177483873], ['C0093', 0.9836596337090957], ['C0113', 0.9793135286829135]]"
C0018,"[['C0165', 0.9803074739261785], ['C0148', 0.9788666685322018], ['C0149', 0.9638759696378909]]"
C0019,"[['C0069', 0.874969547644054], ['C0038', 0.87412913087016], ['C0191', 0.8707607192703304]]"
C0020,"[['C0080', 0.9999221384871727], ['C0110', 0.9990963234405529], ['C0078', 0.998988277052761]]"
